
; <<>> DiG 9.8.4-rpz2+rl005.12-P1 <<>> +time=1 axfr bjut.edu.cn @dragon2.bjut.edu.cn.
;; global options: +cmd
bjut.edu.cn.		3600	IN	SOA	dragon.bjut.edu.cn. root.bjut.edu.cn. 2013111156 60 3600 604800 3600
bjut.edu.cn.		3600	IN	TXT	"v=spf1 ip4:202.112.78.226/24 ip4:114.251.253.227/24 -all"
bjut.edu.cn.		3600	IN	A	202.112.78.101
bjut.edu.cn.		3600	IN	MX	5 egw.bjut.edu.cn.
bjut.edu.cn.		3600	IN	NS	dragon.bjut.edu.cn.
bjut.edu.cn.		3600	IN	NS	phoenix.bjut.edu.cn.
bjut.edu.cn.		3600	IN	NS	dragon2.bjut.edu.cn.
#mdec.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
2007isun.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
211.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
2th-finechem.bjut.edu.cn. 3600	IN	CNAME	www104.bjut.edu.cn.
3cheng.bjut.edu.cn.	3600	IN	CNAME	hellogd.bjut.edu.cn.
8isgcc.bjut.edu.cn.	3600	IN	CNAME	www104.bjut.edu.cn.
905.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
aaa.bjut.edu.cn.	3600	IN	NS	array.bjut.edu.cn.
account.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
adenergy.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
admin.bjut.edu.cn.	3600	IN	A	172.21.96.10
aeeprn2013.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
afmlab.bjut.edu.cn.	3600	IN	CNAME	www104.bjut.edu.cn.
ai.bjut.edu.cn.		3600	IN	NS	linkproof.bjut.edu.cn.
amflab.bjut.edu.cn.	3600	IN	CNAME	www104.bjut.edu.cn.
ammg.bjut.edu.cn.	3600	IN	CNAME	dept.bjut.edu.cn.
amtlab.bjut.edu.cn.	3600	IN	CNAME	www104.bjut.edu.cn.
anim.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
archives.bjut.edu.cn.	3600	IN	A	172.25.80.2
array.bjut.edu.cn.	3600	IN	A	211.71.94.10
atom.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
avgw.bjut.edu.cn.	3600	IN	A	202.112.77.85
bbs.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
bdic.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
bdica.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
berct.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
www.besl.bjut.edu.cn.	3600	IN	A	219.142.32.166
bioinfo.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
bioinformatics.bjut.edu.cn. 3600 IN	NS	linkproof.bjut.edu.cn.
bjeesr.bjut.edu.cn.	3600	IN	CNAME	ceet.bjut.edu.cn.
bjiad.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
bjjpk.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
bjjpkbak.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
bjjpkjc.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
bjjpkvod.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
bjmm.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
bjttcam.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
bjutaa.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
bjutxlzx.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
bluedot.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
