
; <<>> DiG 9.8.4-rpz2+rl005.12-P1 <<>> +time=1 axfr sdnu.edu.cn @shihun.sdnu.edu.cn.
;; global options: +cmd
sdnu.edu.cn.		86400	IN	SOA	shihun.sdnu.edu.cn. root.sdnu.edu.cn. 948474483 10800 3600 604800 86400
sdnu.edu.cn.		86400	IN	NS	shihun.sdnu.edu.cn.
sdnu.edu.cn.		86400	IN	MX	1 mail.sdnu.edu.cn.
www.jsjy.sdnu.edu.cn.	86400	IN	A	210.44.8.26
www.wyx.sdnu.edu.cn.	86400	IN	A	210.44.8.18
www.history.sdnu.edu.cn. 86400	IN	A	210.44.8.29
www.gongjian.sdnu.edu.cn. 86400	IN	A	210.44.14.16
www.yjs.sdnu.edu.cn.	86400	IN	A	210.44.8.55
www.xinx.sdnu.edu.cn.	86400	IN	A	210.44.14.16
e.sdnu.edu.cn.		86400	IN	A	210.44.14.15
www.spgkk.sdnu.edu.cn.	86400	IN	A	210.44.8.26
www.lsxy.sdnu.edu.cn.	86400	IN	A	210.44.8.29
www.news.sdnu.edu.cn.	86400	IN	A	210.44.14.22
oa.sdnu.edu.cn.		86400	IN	A	210.44.8.48
www.itme.sdnu.edu.cn.	86400	IN	A	210.44.8.29
www.law.sdnu.edu.cn.	86400	IN	A	210.44.8.18
www.ecc.sdnu.edu.cn.	86400	IN	A	210.44.7.13
i.sdnu.edu.cn.		86400	IN	A	210.44.14.10
www.zsb.sdnu.edu.cn.	86400	IN	A	210.44.14.23
www.sde.sdnu.edu.cn.	86400	IN	A	210.44.14.16
www.cdm.sdnu.edu.cn.	86400	IN	A	210.44.8.27
www.fwh.sdnu.edu.cn.	86400	IN	A	210.44.8.26
www.efzx.sdnu.edu.cn.	86400	IN	A	210.44.14.16
www.jybgczx.sdnu.edu.cn. 86400	IN	A	210.44.14.16
www.elib.sdnu.edu.cn.	86400	IN	A	210.44.1.11
www.xsgl.sdnu.edu.cn.	86400	IN	A	210.44.8.26
www.ykt.sdnu.edu.cn.	86400	IN	A	210.44.8.36
www.qlshx.sdnu.edu.cn.	86400	IN	A	210.44.14.1
www.sdwp.sdnu.edu.cn.	86400	IN	A	210.44.8.26
www.shdz.sdnu.edu.cn.	86400	IN	A	210.44.8.29
my.sdnu.edu.cn.		86400	IN	A	210.44.8.42
www.njzw.sdnu.edu.cn.	86400	IN	A	210.44.8.25
www.ppts.sdnu.edu.cn.	86400	IN	A	210.44.8.26
ebs.sdnu.edu.cn.	86400	IN	A	210.44.8.34
www.newqlshx.sdnu.edu.cn. 86400	IN	A	210.44.14.1
www.itedu.sdnu.edu.cn.	86400	IN	A	210.44.8.27
imp.sdnu.edu.cn.	86400	IN	A	210.44.8.42
www.syjx.sdnu.edu.cn.	86400	IN	A	210.44.8.25
www.lsc.sdnu.edu.cn.	86400	IN	A	210.44.8.18
www.xddwx.sdnu.edu.cn.	86400	IN	A	210.44.8.27
www.jxcg.sdnu.edu.cn.	86400	IN	A	210.44.8.18
www.jpkc.sdnu.edu.cn.	86400	IN	A	210.44.8.15
www.fbsjs.sdnu.edu.cn.	86400	IN	A	210.44.8.29
www.gongan.sdnu.edu.cn.	86400	IN	A	210.44.8.26
www.yjsjy.sdnu.edu.cn.	86400	IN	A	210.44.8.26
ftp.computer.sdnu.edu.cn. 86400	IN	A	210.44.3.21
www.bssd.sdnu.edu.cn.	86400	IN	A	210.44.8.28
www.optlab.sdnu.edu.cn.	86400	IN	A	210.44.8.25
mail.sdnu.edu.cn.	86400	IN	A	210.44.8.37
www.bkjy.sdnu.edu.cn.	86400	IN	A	210.44.2.168
www.mlb.sdnu.edu.cn.	86400	IN	A	210.44.8.29
www.tongzhan.sdnu.edu.cn. 86400	IN	A	210.44.8.18
www.zhengfa.sdnu.edu.cn. 86400	IN	A	210.44.8.29
www.mhe2013.sdnu.edu.cn. 86400	IN	A	210.44.8.26
www.hxc.sdnu.edu.cn.	86400	IN	A	210.44.14.16
www.info.sdnu.edu.cn.	86400	IN	A	210.44.8.28
www.yjszs.sdnu.edu.cn.	86400	IN	A	210.44.14.19
www.oip.sdnu.edu.cn.	86400	IN	A	210.44.14.16
www.flc.sdnu.edu.cn.	86400	IN	A	210.44.4.81
www.sims.sdnu.edu.cn.	86400	IN	A	210.44.8.23
www.gggl.sdnu.edu.cn.	86400	IN	A	210.44.14.16
www.dls.sdnu.edu.cn.	86400	IN	A	210.44.8.29
www.student.sdnu.edu.cn. 86400	IN	A	210.44.8.21
www.wyjx.sdnu.edu.cn.	86400	IN	A	122.200.98.9
www.kfzy.sdnu.edu.cn.	86400	IN	A	210.44.8.25
www.xxc.sdnu.edu.cn.	86400	IN	A	210.44.14.1
www.ycpx.sdnu.edu.cn.	86400	IN	A	210.44.14.1
www.chinese.sdnu.edu.cn. 86400	IN	A	210.44.8.29
www.lkxb.sdnu.edu.cn.	86400	IN	A	122.200.98.9
www.kydzz.sdnu.edu.cn.	86400	IN	A	210.44.8.26
www.dyzx.sdnu.edu.cn.	86400	IN	A	210.44.8.26
www.jyzd.sdnu.edu.cn.	86400	IN	A	210.44.14.1
www.xljk.sdnu.edu.cn.	86400	IN	A	210.44.8.26
www.yjsh.sdnu.edu.cn.	86400	IN	A	210.44.14.16
www.cwc.sdnu.edu.cn.	86400	IN	A	210.44.8.28
www.physics.sdnu.edu.cn. 86400	IN	A	210.44.8.16
www.cq.sdnu.edu.cn.	86400	IN	A	210.44.14.1
www.oldqlshx.sdnu.edu.cn. 86400	IN	A	210.44.8.25
www.pre.sdnu.edu.cn.	86400	IN	A	210.44.8.29
mefz.sdnu.edu.cn.	86400	IN	A	210.44.15.2
www.dag.sdnu.edu.cn.	86400	IN	A	210.44.14.1
www.jjc.sdnu.edu.cn.	86400	IN	A	210.44.14.1
www.sywzgl.sdnu.edu.cn.	86400	IN	A	210.44.8.27
www.ibs.sdnu.edu.cn.	86400	IN	A	210.44.8.27
www.shj.sdnu.edu.cn.	86400	IN	A	210.44.14.1
www.oldzzb.sdnu.edu.cn.	86400	IN	A	210.44.8.27
dns.sdnu.edu.cn.	86400	IN	CNAME	shihun.sdnu.edu.cn.
